SEL;DTVENCIMENTO;NRDUPLICATA;DTENTRADA;CDLOJA;VLRCONTA;CDFORNECEDOR;CGC_CPF;DESCRICAO;OBS;
S;15/09/2020;424087-1;19/08/2020;1;178,92;111;45453214003177;PROFARMA DISTR. PROD. FARMACÊUTICOS LTDA;Nota(s) Fiscal(is): 424087-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;600273-1;19/08/2020;1;219,36;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600273-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;600274-1;19/08/2020;1;1114,91;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600274-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;600275-1;19/08/2020;1;132,63;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600275-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/09/2020;600276-1;19/08/2020;1;141,06;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600276-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;600276-2;19/08/2020;1;136,85;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600276-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;600276-3;19/08/2020;1;136,85;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600276-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/09/2020;600277-1;19/08/2020;1;369,59;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600277-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;600277-2;19/08/2020;1;358,68;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600277-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;600277-3;19/08/2020;1;358,68;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600277-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/09/2020;600278-1;19/08/2020;1;56,07;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600278-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;17/10/2020;600278-2;19/08/2020;1;54,43;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600278-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;16/11/2020;600278-3;19/08/2020;1;54,43;11;92665611010300;DIMED S/A;Nota(s) Fiscal(is): 600278-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;22/09/2020;825812-1;19/08/2020;1;2177,06;1060;13485130000375;PHARMA LOG;Nota(s) Fiscal(is): 825812-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
S;15/09/2020;8398207-1;19/08/2020;1;824,40;4;82873068000573;GENESIO SANTA CRUZ;Nota(s) Fiscal(is): 8398207-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
S;15/09/2020;8398208-1;19/08/2020;1;883,28;4;82873068000573;GENESIO SANTA CRUZ;Nota(s) Fiscal(is): 8398208-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
S;15/09/2020;8398209-1;19/08/2020;1;141,81;4;82873068000573;GENESIO SANTA CRUZ;Nota(s) Fiscal(is): 8398209-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
S;15/09/2020;8398210-1;19/08/2020;1;1590,00;4;82873068000573;GENESIO SANTA CRUZ;Nota(s) Fiscal(is): 8398210-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
S;15/09/2020;8398211-1;19/08/2020;1;156,61;4;82873068000573;GENESIO SANTA CRUZ;Nota(s) Fiscal(is): 8398211-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
S;04/10/2020;12748495-1;19/08/2020;1;180,01;1002;01206820001098;PANPHARMA;Nota(s) Fiscal(is): 12748495-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
S;04/10/2020;12748482-1;19/08/2020;1;1683,01;1002;01206820001098;PANPHARMA;Nota(s) Fiscal(is): 12748482-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
